numeral;form;homogenious_parts;pair_numerals;definiteness;adjectives;source
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_inanim;no;high;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;medium;yes;ruscorpora
dva;inanim;no;no;high;yes;ruscorpora
dva;inanim;yes_inanim;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;no;medium;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;no;yes;low;no;ruscorpora
dva;inanim;no;no;high;no;ruscorpora
dva;inanim;yes_anim;no;medium;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;yes;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;yes;low;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;yes;low;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;yes;low;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;yes_inanim;no;medium;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_inanim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;yes;high;no;ruscorpora
dva;anim;yes_anim;no;medium;yes;ruscorpora
dva;anim;no;no;medium;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_inanim;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_inanim;no;medium;no;ruscorpora
dva;anim;yes_inanim;no;medium;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;yes;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;no;no;high;no;ruscorpora
dva;anim;yes_anim;no;high;no;ruscorpora
dva;anim;no;no;medium;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;medium;no;ruscorpora
tri;inanim;no;no;medium;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;yes_anim;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;yes_anim;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;yes_inanim;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;yes_anim;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;medium;no;ruscorpora
tri;inanim;no;yes;medium;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;no;no;medium;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;inanim;yes_inanim;no;high;no;ruscorpora
tri;inanim;no;no;medium;no;ruscorpora
tri;inanim;no;no;medium;no;ruscorpora
tri;inanim;yes_inanim;no;high;yes;ruscorpora
tri;inanim;yes_anim;no;high;no;ruscorpora
tri;inanim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;medium;no;ruscorpora
tri;anim;yes_anim;no;medium;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;yes;low;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_inanim;no;medium;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_inanim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_inanim;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;medium;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;yes_anim;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;no;ruscorpora
tri;anim;no;no;high;yes;ruscorpora
tri;anim;no;no;high;no;ruscorpora
