numeral;form;homogenious_parts;pair_numerals;definiteness;adjectives
dva;inanim;no;yes;low;no
dva;inanim;yes_inanim;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;yes
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;medium;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;yes
dva;anim;yes_anim;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;medium;yes
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;no
dva;anim;yes_anim;no;high;yes
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;medium;yes
dva;anim;yes_inanim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;medium;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;yes_inanim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;yes
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;yes
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;high;no
dva;anim;yes_anim;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;medium;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;yes;low;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;no
dva;anim;yes_inanim;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;yes
dva;anim;yes_anim;no;medium;no
dva;anim;yes_anim;no;medium;no
dva;anim;yes_inanim;no;high;no
dva;anim;no;no;medium;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_inanim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;yes_inanim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;yes_inanim;no;high;no
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_inanim;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;yes
dva;anim;no;no;high;no
dva;anim;no;no;medium;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;yes_inanim;no;high;no
dva;anim;yes_anim;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;medium;no
dva;anim;no;no;medium;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;no
dva;anim;no;no;high;yes
dva;anim;no;no;high;no
dva;anim;yes_inanim;yes;low;yes
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;yes
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;yes
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;yes
dva;anim;no;yes;low;no
dva;anim;yes_anim;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;no
dva;anim;no;yes;low;yes
dva;anim;no;yes;low;no
tri;inanim;no;no;medium;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;medium;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;medium;no
tri;inanim;yes_anim;no;medium;no
tri;inanim;no;no;medium;no
tri;inanim;yes_inanim;no;medium;no
tri;inanim;yes_inanim;no;medium;no
tri;inanim;no;no;medium;no
tri;inanim;no;no;medium;no
tri;inanim;no;no;high;no
tri;inanim;yes_inanim;no;high;yes
tri;inanim;yes_anim;no;medium;no
tri;inanim;no;no;medium;yes
tri;inanim;yes_inanim;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;yes
tri;inanim;no;no;medium;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;yes_inanim;no;medium;no
tri;inanim;no;no;medium;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;no;high;no
tri;inanim;no;yes;low;no
tri;inanim;no;yes;low;yes
tri;inanim;no;yes;low;no
tri;inanim;yes_anim;yes;low;no
tri;inanim;no;yes;low;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;no;no;medium;yes
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;yes_inanim;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;yes_anim;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;yes_anim;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;yes_anim;no;high;no
tri;anim;yes_anim;yes;low;no
tri;anim;no;no;high;no
tri;anim;yes_inanim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_inanim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;yes
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;yes
tri;anim;yes_anim;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;yes
tri;anim;no;no;high;yes
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;yes_anim;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;high;no
tri;anim;no;no;medium;no
tri;anim;no;no;medium;no
tri;anim;no;no;high;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;yes
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;yes_anim;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;no
tri;anim;no;yes;low;yes
tri;anim;no;yes;low;yes
tri;anim;no;yes;low;no
tri;anim;yes_anim;yes;low;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;high;yes
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;medium;no
chetyre;inanim;no;no;high;no
chetyre;inanim;no;yes;low;no
chetyre;anim;no;no;high;yes
chetyre;anim;yes_anim;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;high;yes
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;yes
chetyre;anim;no;no;high;yes
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;yes_inanim;no;high;no
chetyre;anim;no;no;high;yes
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;yes
chetyre;anim;yes_anim;no;high;yes
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;yes_anim;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;yes
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;medium;yes
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;yes_anim;no;high;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;high;no
chetyre;anim;no;no;medium;no
chetyre;anim;no;no;high;no
chetyre;anim;yes_inanim;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;anim;no;no;high;no
oba;inanim;no;no;high;no
oba;inanim;no;no;high;no
